,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
382,male,group C,master's degree,free/reduced,none,79,81,71
994,male,group A,high school,standard,none,63,63,62
982,male,group B,some high school,standard,completed,79,85,86
47,female,group C,high school,standard,none,66,71,76
521,female,group C,associate's degree,standard,none,91,86,84
636,female,group B,high school,free/reduced,completed,67,80,81
19,female,group C,associate's degree,free/reduced,none,54,58,61
366,male,group C,high school,standard,completed,69,58,53
340,male,group C,high school,free/reduced,none,58,61,52
952,female,group E,some high school,free/reduced,none,74,74,72
675,female,group B,some college,standard,completed,50,64,66
306,male,group E,some college,standard,completed,99,87,81
835,female,group C,high school,standard,completed,60,64,74
429,male,group C,some high school,free/reduced,none,68,63,54
823,female,group B,high school,free/reduced,none,71,87,82
304,female,group C,associate's degree,standard,completed,74,75,83
355,female,group B,bachelor's degree,standard,none,61,72,70
177,female,group C,associate's degree,standard,completed,71,77,77
945,female,group C,associate's degree,standard,none,54,61,58
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
309,female,group D,high school,free/reduced,none,49,57,52
892,female,group A,master's degree,free/reduced,none,50,67,73
301,male,group D,some high school,free/reduced,none,56,54,52
920,male,group D,high school,free/reduced,none,69,70,67
594,female,group C,bachelor's degree,standard,completed,92,100,99
761,female,group D,some high school,standard,none,48,58,54
107,male,group E,associate's degree,standard,completed,66,63,64
747,male,group C,some college,standard,none,69,64,68
988,female,group A,some high school,free/reduced,none,44,45,45
806,female,group D,some college,free/reduced,none,64,74,75
99,female,group D,bachelor's degree,standard,none,65,67,62
250,male,group A,some high school,standard,completed,47,49,49
833,female,group B,high school,standard,completed,77,82,89
474,female,group B,associate's degree,standard,completed,90,90,91
703,female,group D,some college,standard,none,63,64,67
941,female,group D,master's degree,standard,none,78,91,96
383,female,group E,some high school,free/reduced,none,38,49,45
680,female,group D,high school,standard,none,67,72,74
181,female,group C,some college,free/reduced,none,46,64,66
12,female,group B,high school,standard,none,65,81,73
613,female,group C,associate's degree,standard,none,65,77,74
85,female,group C,some college,standard,none,73,80,82
320,female,group C,high school,free/reduced,completed,67,79,84
649,female,group D,some college,standard,completed,69,79,81
710,male,group C,some college,standard,completed,93,84,90
385,female,group E,some college,standard,none,67,76,75
890,female,group E,some college,standard,completed,86,85,91
439,male,group D,some high school,standard,completed,89,88,82
135,male,group C,bachelor's degree,standard,none,58,55,48
567,female,group D,master's degree,free/reduced,completed,61,71,78
298,male,group C,high school,free/reduced,completed,40,46,50
160,male,group B,associate's degree,free/reduced,completed,82,78,74
268,female,group D,associate's degree,standard,completed,88,92,95
658,female,group D,associate's degree,free/reduced,none,43,60,58
996,male,group C,high school,free/reduced,none,62,55,55
641,female,group D,associate's degree,free/reduced,completed,74,88,90
906,male,group B,high school,standard,none,57,48,51
805,male,group A,some college,free/reduced,none,75,81,74
893,male,group D,some high school,standard,completed,88,74,75
389,male,group D,master's degree,standard,none,73,70,75
121,male,group B,associate's degree,standard,completed,91,89,92
837,female,group A,high school,standard,completed,75,82,79
187,male,group D,some high school,standard,completed,62,66,68
16,male,group C,high school,standard,none,88,89,86
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
493,female,group C,bachelor's degree,standard,none,81,88,90
341,female,group C,high school,standard,none,61,73,63
426,male,group C,bachelor's degree,standard,none,86,83,86
467,male,group A,high school,free/reduced,completed,72,67,65
106,female,group D,master's degree,standard,none,87,100,100
408,female,group D,high school,free/reduced,completed,52,57,56
23,female,group C,some high school,standard,none,69,73,73
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
69,female,group C,associate's degree,standard,none,39,64,57
900,male,group D,master's degree,standard,none,85,84,89
676,female,group E,some college,standard,completed,73,78,76
801,male,group C,some high school,standard,completed,76,80,73
599,female,group D,some high school,standard,none,65,82,81
643,female,group E,high school,standard,completed,74,79,80
339,female,group D,some high school,free/reduced,completed,35,55,60
701,female,group B,some high school,standard,none,57,67,72
873,male,group E,associate's degree,free/reduced,none,90,90,82
74,male,group C,some high school,standard,none,49,49,41
218,male,group B,high school,free/reduced,none,66,77,70
525,male,group E,some college,standard,none,68,60,59
265,male,group D,some high school,free/reduced,none,59,42,41
891,female,group E,associate's degree,standard,none,85,92,85
110,female,group D,associate's degree,free/reduced,completed,77,89,98
435,male,group C,some college,free/reduced,completed,50,48,53
980,female,group B,high school,free/reduced,none,8,24,23
632,female,group B,bachelor's degree,standard,completed,66,74,81
185,male,group C,associate's degree,free/reduced,completed,65,67,65
286,male,group E,associate's degree,standard,completed,97,82,88
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
899,female,group D,some high school,standard,completed,65,78,82
459,male,group B,high school,standard,completed,72,65,68
415,male,group E,high school,standard,none,84,73,69
61,male,group A,some high school,free/reduced,none,39,39,34
347,female,group C,bachelor's degree,standard,completed,77,94,95
349,male,group E,associate's degree,standard,none,87,74,76
731,male,group A,some high school,free/reduced,none,55,46,43
716,male,group C,associate's degree,standard,completed,73,78,72
640,male,group D,high school,standard,none,41,52,51
804,female,group C,some college,standard,none,73,76,78
737,female,group B,some college,free/reduced,completed,53,66,73
329,female,group B,some high school,standard,none,41,55,51
927,female,group D,high school,free/reduced,completed,65,61,71
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
787,female,group B,some college,standard,none,19,38,32
764,male,group D,some college,standard,none,60,63,59
784,male,group C,bachelor's degree,standard,completed,91,81,79
57,male,group D,associate's degree,standard,none,52,55,49
825,male,group C,high school,standard,none,62,67,58
928,male,group E,associate's degree,free/reduced,completed,46,43,44
859,male,group C,associate's degree,free/reduced,none,87,73,72
786,female,group E,some high school,free/reduced,none,72,79,77
291,male,group D,some high school,standard,none,86,73,70
46,female,group A,associate's degree,standard,completed,55,65,62
277,female,group E,high school,standard,completed,59,63,75
841,male,group C,some high school,standard,none,64,58,51
926,male,group E,associate's degree,free/reduced,none,64,56,52
224,female,group B,associate's degree,standard,completed,52,66,73
530,female,group C,associate's degree,standard,completed,68,67,73
280,male,group D,high school,standard,none,53,52,42
0,female,group B,bachelor's degree,standard,none,72,72,74
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
495,male,group D,high school,standard,completed,68,64,66
66,male,group D,some high school,free/reduced,none,45,37,37
403,female,group D,high school,standard,completed,88,99,100
563,female,group D,some college,free/reduced,completed,63,80,80
481,female,group D,associate's degree,free/reduced,none,52,59,56
571,male,group A,bachelor's degree,standard,none,91,96,92
882,female,group B,high school,free/reduced,none,64,73,71
294,male,group D,high school,free/reduced,completed,78,77,80
619,male,group C,associate's degree,free/reduced,completed,65,73,68
743,female,group C,associate's degree,standard,completed,59,73,72
245,male,group C,associate's degree,standard,none,85,76,71
257,male,group C,associate's degree,standard,completed,78,77,77
161,female,group E,some college,free/reduced,completed,75,88,85
726,female,group E,associate's degree,standard,completed,65,75,77
605,male,group C,some high school,standard,none,75,72,62
953,male,group C,high school,standard,completed,58,52,54
436,male,group D,associate's degree,standard,none,75,68,64
855,female,group B,bachelor's degree,standard,none,97,97,96
768,female,group D,some high school,standard,none,68,71,75
247,female,group B,high school,standard,completed,58,70,68
541,male,group D,associate's degree,free/reduced,completed,79,82,80
239,male,group C,associate's degree,standard,none,84,80,80
220,female,group D,high school,standard,completed,56,68,74
957,female,group D,master's degree,standard,none,92,100,100
92,male,group C,high school,standard,none,71,79,71
114,female,group E,bachelor's degree,standard,completed,99,100,100
798,male,group E,some college,standard,none,69,60,54
979,female,group C,associate's degree,standard,none,91,95,94
76,male,group E,some high school,standard,none,30,26,22
981,male,group D,some high school,standard,none,81,78,78
386,female,group E,bachelor's degree,standard,none,64,73,70
132,male,group E,some college,free/reduced,completed,87,74,70
863,female,group C,some college,standard,completed,71,71,80
990,male,group E,high school,free/reduced,completed,86,81,75
58,male,group D,some college,standard,completed,58,59,58
289,male,group E,some high school,standard,completed,77,76,77
246,male,group E,associate's degree,standard,none,89,76,74
364,male,group C,some college,standard,none,59,60,58
871,female,group C,some college,standard,completed,70,72,76
40,male,group C,associate's degree,free/reduced,none,55,61,54
89,female,group D,some high school,standard,none,73,86,82
192,female,group B,some high school,standard,none,62,64,66
422,female,group D,master's degree,free/reduced,completed,47,58,67
68,male,group B,associate's degree,free/reduced,none,61,58,56
661,male,group C,some high school,standard,none,73,66,63
372,male,group D,some high school,standard,none,74,74,72
139,male,group D,some college,standard,completed,71,61,69
388,female,group D,high school,standard,none,62,64,64
832,male,group A,bachelor's degree,standard,none,64,60,58
118,female,group D,some high school,standard,none,51,63,61
579,female,group D,master's degree,standard,none,53,61,68
922,male,group D,high school,standard,none,72,66,66
791,female,group D,some college,free/reduced,none,60,66,70
350,female,group B,bachelor's degree,standard,none,52,65,69
811,male,group A,high school,free/reduced,none,45,47,49
434,male,group C,some high school,standard,none,73,66,66
669,male,group D,associate's degree,standard,completed,81,72,77
931,male,group D,some college,free/reduced,none,62,57,62
948,male,group B,some high school,free/reduced,completed,49,50,52
14,female,group A,master's degree,standard,none,50,53,58
375,male,group E,associate's degree,free/reduced,none,46,43,41
82,male,group A,some college,free/reduced,completed,50,47,54
491,female,group C,associate's degree,standard,none,64,64,70
697,female,group A,bachelor's degree,standard,none,59,72,70
879,female,group D,associate's degree,standard,none,64,76,74
936,male,group A,associate's degree,standard,none,67,57,53
88,female,group A,some college,standard,none,58,70,67
363,female,group D,some high school,free/reduced,none,27,34,32
273,female,group D,some college,standard,none,65,70,71
172,female,group D,some college,standard,none,79,86,81
554,male,group E,associate's degree,standard,none,53,45,40
103,male,group B,high school,standard,completed,60,44,47
754,male,group C,associate's degree,free/reduced,none,58,55,53
673,female,group C,associate's degree,standard,completed,65,84,84
371,female,group C,some college,free/reduced,completed,45,73,70
45,male,group B,associate's degree,standard,none,65,54,57
560,female,group D,some college,standard,completed,74,75,79
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
419,male,group E,high school,free/reduced,completed,57,56,54
604,male,group D,master's degree,free/reduced,completed,84,89,90
725,male,group E,some college,standard,completed,81,74,71
11,male,group D,associate's degree,standard,none,40,52,43
214,male,group E,high school,standard,completed,87,91,81
344,male,group D,some college,standard,none,79,73,67
700,female,group E,bachelor's degree,standard,completed,79,81,82
720,female,group C,some college,free/reduced,none,62,72,70
147,male,group C,associate's degree,free/reduced,none,73,68,66
299,male,group D,associate's degree,free/reduced,none,90,87,75
283,female,group D,some college,free/reduced,completed,70,78,78
745,male,group D,associate's degree,standard,none,72,79,74
412,male,group D,associate's degree,standard,none,71,66,60
629,female,group C,some high school,standard,completed,44,51,55
795,female,group E,associate's degree,free/reduced,completed,57,68,73
741,female,group A,associate's degree,free/reduced,none,37,57,56
886,female,group E,associate's degree,standard,completed,93,100,95
735,male,group C,master's degree,standard,none,67,57,59
173,female,group C,associate's degree,standard,none,63,67,70
432,male,group C,high school,standard,none,61,56,55
985,male,group A,high school,standard,none,57,51,54
226,female,group C,some college,standard,none,72,72,71
305,male,group A,some college,standard,none,69,67,69
31,female,group B,some college,standard,none,63,65,61
719,male,group E,associate's degree,free/reduced,completed,91,73,80
483,male,group A,high school,standard,none,59,52,46
766,female,group C,high school,standard,completed,58,75,77
285,male,group B,associate's degree,standard,completed,81,82,82
918,female,group C,associate's degree,standard,completed,57,77,80
482,male,group C,some college,free/reduced,none,68,68,61
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
977,male,group C,associate's degree,standard,none,62,65,58
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
618,male,group D,master's degree,standard,none,95,81,84
652,female,group D,some college,standard,completed,85,86,98
704,female,group B,some high school,free/reduced,completed,59,63,64
95,male,group C,associate's degree,free/reduced,completed,78,81,82
261,male,group C,some college,standard,completed,79,79,78
635,male,group A,high school,standard,none,71,74,64
592,male,group E,bachelor's degree,standard,none,68,68,64
574,female,group E,high school,standard,none,74,81,71
954,female,group C,some college,standard,none,62,69,69
102,female,group D,associate's degree,standard,none,85,91,89
62,male,group A,associate's degree,free/reduced,none,62,61,55
204,male,group C,some college,standard,none,59,41,42
663,female,group C,high school,standard,none,65,69,67
686,male,group E,some college,standard,completed,85,75,68
184,male,group C,some high school,free/reduced,completed,45,52,49
678,male,group D,associate's degree,free/reduced,none,81,75,78
733,male,group D,some high school,standard,none,55,47,44
91,male,group C,high school,free/reduced,none,27,34,36
942,male,group C,high school,standard,none,81,66,64
708,male,group D,high school,standard,none,89,87,79
736,male,group C,associate's degree,standard,none,92,79,84
836,male,group E,high school,standard,none,73,64,57
730,female,group B,associate's degree,free/reduced,completed,68,77,80
411,male,group E,some college,standard,completed,84,83,78
346,male,group B,some college,standard,none,62,61,57
480,male,group B,high school,standard,completed,73,71,68
814,female,group C,high school,standard,none,72,80,83
29,female,group D,master's degree,standard,none,62,70,75
54,female,group C,some high school,free/reduced,completed,71,84,87
487,female,group C,associate's degree,free/reduced,none,60,75,74
39,male,group B,associate's degree,free/reduced,none,57,56,57
157,male,group B,some college,free/reduced,none,60,60,60
894,female,group E,associate's degree,standard,none,59,62,69
146,male,group B,some high school,standard,none,88,84,75
221,male,group B,associate's degree,standard,none,87,85,73
684,male,group B,some college,standard,completed,62,66,68
772,female,group B,some high school,free/reduced,completed,52,67,72
602,female,group E,some college,standard,none,76,78,80
800,male,group C,some high school,standard,completed,67,73,68
394,female,group C,some high school,standard,completed,65,74,77
52,male,group C,some college,standard,none,53,44,42
622,male,group C,high school,free/reduced,completed,58,51,52
674,female,group D,high school,standard,completed,69,77,78
359,female,group D,some college,standard,none,80,90,89
504,female,group D,master's degree,free/reduced,none,40,59,54
402,female,group A,some college,free/reduced,none,49,65,55
770,male,group B,high school,standard,none,52,48,49
421,female,group D,high school,standard,completed,57,58,64
448,male,group B,high school,standard,none,47,46,42
165,female,group C,bachelor's degree,standard,completed,96,100,100
284,female,group B,some high school,standard,none,37,46,46
80,female,group B,associate's degree,standard,none,47,49,50
227,male,group D,high school,standard,none,57,50,54
447,male,group C,high school,standard,completed,86,81,80
353,female,group C,associate's degree,standard,none,46,58,57
310,female,group B,associate's degree,standard,none,73,76,80
727,male,group E,some high school,standard,completed,68,51,57
259,female,group C,master's degree,free/reduced,completed,65,81,81
323,female,group C,some high school,free/reduced,none,43,53,53
9,female,group B,high school,free/reduced,none,38,60,50
679,male,group D,some college,free/reduced,none,63,61,60
529,female,group C,associate's degree,standard,none,62,74,70
30,female,group D,some college,standard,none,69,74,74
789,female,group C,master's degree,free/reduced,none,52,65,61
179,female,group D,some high school,standard,completed,97,100,100
27,female,group C,bachelor's degree,standard,none,67,69,75
33,male,group D,some college,standard,none,40,42,38
334,female,group C,bachelor's degree,standard,none,83,93,95
361,male,group B,some high school,standard,completed,85,84,78
293,female,group E,bachelor's degree,standard,none,65,73,75
782,female,group B,high school,free/reduced,completed,76,85,82
959,male,group C,high school,standard,none,75,81,71
5,female,group B,associate's degree,standard,none,71,83,78
197,male,group E,high school,free/reduced,none,55,56,51
790,female,group B,high school,standard,none,48,62,60
392,male,group E,some college,standard,none,76,67,67
543,female,group D,associate's degree,standard,none,82,95,89
788,male,group C,associate's degree,free/reduced,none,68,65,61
631,male,group B,high school,standard,none,79,60,65
865,male,group D,some college,standard,completed,82,82,88
510,male,group D,some college,standard,none,76,71,73
122,female,group C,some college,standard,completed,88,93,93
378,female,group A,some high school,standard,none,71,83,77
38,female,group D,associate's degree,free/reduced,completed,75,90,88
546,female,group A,some high school,standard,completed,92,100,97
523,male,group C,master's degree,free/reduced,none,54,59,50
162,male,group B,master's degree,free/reduced,none,49,53,52
67,female,group C,some college,standard,none,60,72,74
124,male,group E,some college,standard,none,83,80,73
4,male,group C,some college,standard,none,76,78,75
834,male,group B,some college,standard,none,58,50,45
759,male,group B,some college,standard,completed,69,77,77
427,male,group C,some high school,free/reduced,none,69,71,65
966,male,group A,some high school,standard,completed,66,68,64
553,male,group D,some college,free/reduced,none,77,62,64
506,male,group A,high school,standard,none,68,70,66
975,female,group C,some college,standard,completed,64,82,77
399,male,group D,some high school,standard,none,60,59,54
802,female,group E,associate's degree,standard,none,87,94,95
352,female,group C,some college,standard,completed,63,78,80
839,female,group C,associate's degree,standard,none,66,77,73
848,female,group C,high school,standard,none,59,72,68
260,female,group C,some high school,free/reduced,completed,64,79,77
333,male,group B,associate's degree,standard,none,90,78,81
153,male,group D,bachelor's degree,standard,none,54,49,47
396,female,group B,high school,free/reduced,none,50,67,63
501,female,group B,associate's degree,standard,completed,94,87,92
373,female,group D,some college,standard,completed,82,97,96
312,male,group D,bachelor's degree,standard,completed,67,61,68
42,female,group B,associate's degree,standard,none,53,58,65
758,female,group D,some college,free/reduced,completed,52,59,65
522,male,group D,bachelor's degree,standard,none,69,58,57
650,male,group C,some high school,free/reduced,completed,51,56,53
846,male,group C,master's degree,standard,completed,91,85,85
623,male,group A,some college,standard,completed,100,96,86
682,male,group B,high school,standard,none,62,55,54
634,male,group D,some high school,standard,none,84,84,80
750,male,group D,some high school,standard,completed,71,69,68
755,female,group E,associate's degree,standard,none,84,95,92
780,female,group D,associate's degree,free/reduced,none,46,56,57
590,male,group C,some college,free/reduced,none,58,57,54
445,female,group C,some high school,standard,completed,67,74,77
272,female,group D,associate's degree,free/reduced,none,47,53,58
877,male,group C,some high school,standard,none,57,61,54
519,female,group B,high school,free/reduced,completed,67,78,79
377,female,group D,master's degree,free/reduced,completed,85,95,100
498,female,group B,some high school,standard,none,66,69,68
878,female,group D,some high school,standard,none,59,72,80
930,male,group C,some college,free/reduced,completed,67,74,70
947,female,group D,some college,free/reduced,none,49,58,60
97,female,group E,some college,standard,completed,63,72,70
128,male,group D,master's degree,standard,none,82,82,74
544,female,group D,master's degree,standard,none,64,63,66
379,male,group A,bachelor's degree,standard,none,66,64,62
203,female,group B,associate's degree,standard,none,57,69,68
343,male,group D,associate's degree,standard,completed,67,72,67
888,female,group D,some college,free/reduced,none,69,65,74
808,male,group C,high school,standard,none,90,75,69
518,female,group D,some high school,standard,completed,66,78,78
779,male,group E,associate's degree,standard,completed,94,85,82
488,male,group B,some high school,standard,completed,64,53,57
237,female,group D,some high school,standard,completed,64,60,74
549,male,group C,master's degree,standard,none,79,72,69
400,female,group C,some high school,standard,completed,59,54,67
570,male,group B,some college,standard,completed,71,75,70
232,female,group B,bachelor's degree,standard,none,67,86,83
442,female,group A,some high school,free/reduced,none,59,73,69
98,female,group D,some college,free/reduced,none,58,67,62
875,male,group C,some college,free/reduced,none,80,64,66
978,male,group D,high school,standard,completed,55,41,48
511,male,group A,some high school,standard,none,64,50,43
612,male,group C,bachelor's degree,standard,completed,94,90,91
217,female,group C,high school,free/reduced,none,34,42,39
360,female,group B,high school,standard,none,58,62,59
558,female,group B,associate's degree,free/reduced,none,53,70,70
919,male,group B,some college,standard,completed,91,96,91
958,female,group D,high school,standard,none,45,63,59
225,female,group E,master's degree,free/reduced,none,45,56,54
18,male,group C,master's degree,free/reduced,completed,46,42,46
168,female,group B,high school,standard,completed,68,83,78
292,male,group C,some high school,standard,completed,63,60,57
607,female,group C,master's degree,free/reduced,none,40,58,54
